name,wager,wager_count,player_hands
Allice,6,3,"{'Hal': [3, 4], 'Allice': [6, 5, 4, 1], 'WOPR': [2, 6, 6], 'Andy': [4, 5, 6]}"
WOPR,6,4,"{'Allice': [6, 5, 4, 1], 'WOPR': [2, 6, 6], 'Andy': [4, 5, 6], 'Hal': [3, 4]}"
Andy,6,5,"{'WOPR': [2, 6, 6], 'Andy': [4, 5, 6], 'Hal': [3, 4], 'Allice': [6, 5, 4, 1]}"
Hal,LIAR,LIAR,"{'Allice': [6, 5, 4, 1], 'WOPR': [2, 6, 6], 'Andy': [5, 6], 'Hal': [3, 4]}"
WOPR,6,1,"{'Allice': [3, 2, 2, 3], 'WOPR': [3, 2, 6], 'Andy': [1, 4], 'Hal': [6, 4]}"
Andy,4,2,"{'WOPR': [3, 2, 6], 'Andy': [1, 4], 'Hal': [6, 4], 'Allice': [3, 2, 2, 3]}"
Hal,4,3,"{'Andy': [1, 4], 'Hal': [6, 4], 'Allice': [3, 2, 2, 3], 'WOPR': [3, 2, 6]}"
Allice,3,4,"{'Hal': [6, 4], 'Allice': [3, 2, 2, 3], 'WOPR': [3, 2, 6], 'Andy': [1, 4]}"
WOPR,6,4,"{'Allice': [3, 2, 2, 3], 'WOPR': [3, 2, 6], 'Andy': [1, 4], 'Hal': [6, 4]}"
Andy,4,5,"{'WOPR': [3, 2, 6], 'Andy': [1, 4], 'Hal': [6, 4], 'Allice': [3, 2, 2, 3]}"
Hal,6,5,"{'Andy': [1, 4], 'Hal': [6, 4], 'Allice': [3, 2, 2, 3], 'WOPR': [3, 2, 6]}"
Allice,LIAR,LIAR,"{'WOPR': [3, 2, 6], 'Andy': [1, 4], 'Hal': [4], 'Allice': [3, 2, 2, 3]}"
Andy,1,2,"{'WOPR': [4, 4, 3], 'Andy': [1, 1], 'Hal': [2], 'Allice': [6, 3, 6, 3]}"
Hal,2,2,"{'Andy': [1, 1], 'Hal': [2], 'Allice': [6, 3, 6, 3], 'WOPR': [4, 4, 3]}"
Allice,3,2,"{'Hal': [2], 'Allice': [6, 3, 6, 3], 'WOPR': [4, 4, 3], 'Andy': [1, 1]}"
WOPR,4,2,"{'Allice': [6, 3, 6, 3], 'WOPR': [4, 4, 3], 'Andy': [1, 1], 'Hal': [2]}"
Andy,1,3,"{'WOPR': [4, 4, 3], 'Andy': [1, 1], 'Hal': [2], 'Allice': [6, 3, 6, 3]}"
Hal,2,3,"{'Andy': [1, 1], 'Hal': [2], 'Allice': [6, 3, 6, 3], 'WOPR': [4, 4, 3]}"
Allice,6,3,"{'Hal': [2], 'Allice': [6, 3, 6, 3], 'WOPR': [4, 4, 3], 'Andy': [1, 1]}"
WOPR,4,4,"{'Allice': [6, 3, 6, 3], 'WOPR': [4, 4, 3], 'Andy': [1, 1], 'Hal': [2]}"
Andy,1,5,"{'WOPR': [4, 4, 3], 'Andy': [1, 1], 'Hal': [2], 'Allice': [6, 3, 6, 3]}"
Hal,2,5,"{'Andy': [1, 1], 'Hal': [2], 'Allice': [6, 3, 6, 3], 'WOPR': [4, 4, 3]}"
Allice,LIAR,LIAR,"{'WOPR': [4, 4, 3], 'Andy': [1, 1], 'Hal': [], 'Allice': [6, 3, 6, 3]}"
Allice,6,1,"{'Allice': [5, 2, 1, 2], 'WOPR': [4, 5, 6], 'Andy': [3, 3]}"
WOPR,6,2,"{'WOPR': [4, 5, 6], 'Andy': [3, 3], 'Allice': [5, 2, 1, 2]}"
Andy,3,3,"{'Andy': [3, 3], 'Allice': [5, 2, 1, 2], 'WOPR': [4, 5, 6]}"
Allice,2,4,"{'Allice': [5, 2, 1, 2], 'WOPR': [4, 5, 6], 'Andy': [3, 3]}"
WOPR,LIAR,LIAR,"{'Allice': [2, 1, 2], 'WOPR': [4, 5, 6], 'Andy': [3, 3]}"
Andy,6,1,"{'Andy': [3, 6], 'Allice': [1, 5, 5], 'WOPR': [3, 2, 4]}"
Allice,5,2,"{'Allice': [1, 5, 5], 'WOPR': [3, 2, 4], 'Andy': [3, 6]}"
WOPR,4,3,"{'WOPR': [3, 2, 4], 'Andy': [3, 6], 'Allice': [1, 5, 5]}"
Andy,6,3,"{'Andy': [3, 6], 'Allice': [1, 5, 5], 'WOPR': [3, 2, 4]}"
Allice,5,4,"{'Allice': [1, 5, 5], 'WOPR': [3, 2, 4], 'Andy': [3, 6]}"
WOPR,LIAR,LIAR,"{'Allice': [5, 5], 'WOPR': [3, 2, 4], 'Andy': [3, 6]}"
